
Number of requests,Medium response time,Error percentage,Throughput
66000,609.77922ms,0,854.3012578652167
Type,Requests per second,Duration,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time
95.803554ms,true,-,May  8 14:14:07.634522165
102.206516ms,true,-,May  8 14:14:07.634529429
194.501106ms,true,-,May  8 14:14:07.634584677
193.086099ms,true,-,May  8 14:14:07.634678957
96.674311ms,true,-,May  8 14:14:07.635382481
199.125845ms,true,-,May  8 14:14:07.635432432
103.149383ms,true,-,May  8 14:14:07.635433184
193.540491ms,true,-,May  8 14:14:07.635490169
102.081101ms,true,-,May  8 14:14:07.635559044
92.84625ms,true,-,May  8 14:14:07.635646573
104.637625ms,true,-,May  8 14:14:07.637018630
105.121208ms,true,-,May  8 14:14:07.637257671
101.690139ms,true,-,May  8 14:14:07.637297998
98.93861ms,true,-,May  8 14:14:07.637381795
195.240962ms,true,-,May  8 14:14:07.637451268
101.817758ms,true,-,May  8 14:14:07.637488257
103.78007ms,true,-,May  8 14:14:07.637506859
105.211645ms,true,-,May  8 14:14:07.637555989
94.450147ms,true,-,May  8 14:14:07.637588649
104.055285ms,true,-,May  8 14:14:07.637633358
101.737024ms,true,-,May  8 14:14:07.637641725
103.974727ms,true,-,May  8 14:14:07.637687406
104.222122ms,true,-,May  8 14:14:07.637722417
197.732282ms,true,-,May  8 14:14:07.637727474
107.451086ms,true,-,May  8 14:14:07.639641766
96.947468ms,true,-,May  8 14:14:07.639684451
104.068722ms,true,-,May  8 14:14:07.639698743
101.25671ms,true,-,May  8 14:14:07.639771157
107.435272ms,true,-,May  8 14:14:07.639892966
101.503384ms,true,-,May  8 14:14:07.639924064
95.321146ms,true,-,May  8 14:14:07.639969011
107.728311ms,true,-,May  8 14:14:07.640089220
105.046232ms,true,-,May  8 14:14:07.640127140
106.341479ms,true,-,May  8 14:14:07.640139395
97.114052ms,true,-,May  8 14:14:07.640139248
96.991677ms,true,-,May  8 14:14:07.640173224
104.454521ms,true,-,May  8 14:14:07.640176902
104.79394ms,true,-,May  8 14:14:07.640241888
107.879855ms,true,-,May  8 14:14:07.640342245
101.744442ms,true,-,May  8 14:14:07.640370564
97.127675ms,true,-,May  8 14:14:07.640386086
97.152358ms,true,-,May  8 14:14:07.640468513
98.687808ms,true,-,May  8 14:14:07.641839915
97.139642ms,true,-,May  8 14:14:07.641884690
106.335817ms,true,-,May  8 14:14:07.641950086
109.519691ms,true,-,May  8 14:14:07.642018157
108.688322ms,true,-,May  8 14:14:07.642031197
108.573717ms,true,-,May  8 14:14:07.642038154
106.442839ms,true,-,May  8 14:14:07.642085564
99.053805ms,true,-,May  8 14:14:07.642105831
103.945544ms,true,-,May  8 14:14:07.642149560
103.739879ms,true,-,May  8 14:14:07.642218830
108.769215ms,true,-,May  8 14:14:07.642276057
99.132598ms,true,-,May  8 14:14:07.642278975
104.202453ms,true,-,May  8 14:14:07.642317872
106.452381ms,true,-,May  8 14:14:07.642361276
104.293379ms,true,-,May  8 14:14:07.642434828
110.150792ms,true,-,May  8 14:14:07.642476068
104.132934ms,true,-,May  8 14:14:07.642518511
199.567529ms,true,-,May  8 14:14:07.731904890
193.417659ms,true,-,May  8 14:14:07.732029123
98.767555ms,true,-,May  8 14:14:07.732046237
188.813729ms,true,-,May  8 14:14:07.732069380
196.785395ms,true,-,May  8 14:14:07.732168515
193.511204ms,true,-,May  8 14:14:07.732191501
199.169239ms,true,-,May  8 14:14:07.732258962
189.168968ms,true,-,May  8 14:14:07.732299757
189.403678ms,true,-,May  8 14:14:07.732322742
189.179796ms,true,-,May  8 14:14:07.732336737
193.760326ms,true,-,May  8 14:14:07.732411275
200.145255ms,true,-,May  8 14:14:07.733290606
100.207809ms,true,-,May  8 14:14:07.733390407
194.996931ms,true,-,May  8 14:14:07.733569313
99.153244ms,true,-,May  8 14:14:07.733838689
98.385691ms,true,-,May  8 14:14:07.734039343
99.548572ms,true,-,May  8 14:14:07.734075727
198.889408ms,true,-,May  8 14:14:07.734328589
101.700386ms,true,-,May  8 14:14:07.734834748
100.564995ms,true,-,May  8 14:14:07.734904919
95.295895ms,true,-,May  8 14:14:07.734946663
102.804935ms,true,-,May  8 14:14:07.734959181
97.35375ms,true,-,May  8 14:14:07.735045067
102.973876ms,true,-,May  8 14:14:07.735047662
103.131364ms,true,-,May  8 14:14:07.735209621
100.745577ms,true,-,May  8 14:14:07.735221523
100.723276ms,true,-,May  8 14:14:07.735312579
102.289771ms,true,-,May  8 14:14:07.735318989
101.099152ms,true,-,May  8 14:14:07.735390555
97.727917ms,true,-,May  8 14:14:07.735457958
98.525977ms,true,-,May  8 14:14:07.735552006
98.266105ms,true,-,May  8 14:14:07.735584157
97.965171ms,true,-,May  8 14:14:07.735610527
192.952423ms,true,-,May  8 14:14:07.736305676
98.979608ms,true,-,May  8 14:14:07.736490072
96.800656ms,true,-,May  8 14:14:07.736578071
97.011575ms,true,-,May  8 14:14:07.736706499
102.59563ms,true,-,May  8 14:14:07.736720789
102.878785ms,true,-,May  8 14:14:07.737166388
106.696197ms,true,-,May  8 14:14:07.739694836
104.222512ms,true,-,May  8 14:14:07.739719016
299.907035ms,true,-,May  8 14:14:07.739760348
