
Number of requests,Medium response time,Error percentage,Throughput
66000,796.042385ms,0,672.6082574304675
Type,Requests per second,Duration,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time
117.979529ms,true,-,May  8 14:26:11.951897710
191.311189ms,true,-,May  8 14:26:11.951944816
203.178539ms,true,-,May  8 14:26:11.951978925
118.790029ms,true,-,May  8 14:26:11.951993219
200.009055ms,true,-,May  8 14:26:11.953136140
120.308779ms,true,-,May  8 14:26:11.953567107
193.846945ms,true,-,May  8 14:26:11.953630493
193.86507ms,true,-,May  8 14:26:11.953662502
109.065888ms,true,-,May  8 14:26:11.953810760
211.70944ms,true,-,May  8 14:26:11.953884009
237.043829ms,true,-,May  8 14:26:11.954010008
120.893338ms,true,-,May  8 14:26:11.954096545
109.290003ms,true,-,May  8 14:26:11.954224427
112.109759ms,true,-,May  8 14:26:11.954249148
109.216035ms,true,-,May  8 14:26:11.954276770
110.475148ms,true,-,May  8 14:26:11.954300391
121.159967ms,true,-,May  8 14:26:11.954353732
212.906645ms,true,-,May  8 14:26:11.954499831
194.532027ms,true,-,May  8 14:26:11.954513902
218.950993ms,true,-,May  8 14:26:11.954823235
122.928317ms,true,-,May  8 14:26:11.956245504
114.78ms,true,-,May  8 14:26:11.956507237
211.066766ms,true,-,May  8 14:26:11.956587957
111.798753ms,true,-,May  8 14:26:11.956602741
114.516517ms,true,-,May  8 14:26:11.956778649
200.69169ms,true,-,May  8 14:26:11.956985178
206.35556ms,true,-,May  8 14:26:11.957095091
296.765536ms,true,-,May  8 14:26:12.031723623
190.634343ms,true,-,May  8 14:26:12.032764033
279.805369ms,true,-,May  8 14:26:12.032917679
279.942328ms,true,-,May  8 14:26:12.032996551
279.930171ms,true,-,May  8 14:26:12.033226909
192.21804ms,true,-,May  8 14:26:12.037498794
100.83038ms,true,-,May  8 14:26:12.037498881
286.735321ms,true,-,May  8 14:26:12.037509261
100.876619ms,true,-,May  8 14:26:12.037552681
275.611663ms,true,-,May  8 14:26:12.037699507
99.933884ms,true,-,May  8 14:26:12.037733299
291.969867ms,true,-,May  8 14:26:12.037746491
204.705367ms,true,-,May  8 14:26:12.037895039
194.310038ms,true,-,May  8 14:26:12.039453808
292.335698ms,true,-,May  8 14:26:12.040397218
312.11116ms,true,-,May  8 14:26:12.040412359
296.069196ms,true,-,May  8 14:26:12.040415961
96.255605ms,true,-,May  8 14:26:12.040419121
96.632545ms,true,-,May  8 14:26:12.040480865
103.721557ms,true,-,May  8 14:26:12.040587022
103.593659ms,true,-,May  8 14:26:12.041389167
196.724647ms,true,-,May  8 14:26:12.041646001
97.169844ms,true,-,May  8 14:26:12.041933219
105.482054ms,true,-,May  8 14:26:12.042138281
292.464404ms,true,-,May  8 14:26:12.042140605
90.424967ms,true,-,May  8 14:26:12.042184064
98.08107ms,true,-,May  8 14:26:12.042851354
